,country,variety,points
11743,US,Claret,92
11744,US,Pinot Noir,92
11745,Portugal,Portuguese Red,92
11746,Portugal,Portuguese Red,92
11747,US,Sauvignon Blanc,92
11748,France,Chenin Blanc,92
11749,US,Bordeaux-style Red Blend,92
11750,Italy,Sangiovese,92
11751,Argentina,Red Blend,92
11752,France,Syrah,92
11753,US,Pinot Noir,92
11754,US,Chardonnay,92
11755,US,Pinot Noir,92
11756,US,Pinot Noir,92
11757,US,Pinot Noir,92
11758,US,Pinot Noir,92
11759,US,Pinot Noir,92
11760,US,Zinfandel,88
11761,US,Cabernet Sauvignon,88
11762,US,Cabernet Sauvignon,88
11763,US,Syrah,88
11764,Italy,White Blend,88
11765,US,Pinot Gris,88
11766,US,Bordeaux-style Red Blend,88
11767,Austria,Grüner Veltliner,88
11768,Austria,Grüner Veltliner,88
11769,Italy,Greco,88
11770,Italy,Garganega,88
11771,US,Cabernet Sauvignon,88
11772,US,Rosé,88
11773,US,Rosé,88
11774,US,Gewürztraminer,88
11775,France,Rosé,88
11776,Italy,Fiano,88
11777,Italy,Pinot Grigio,88
11778,New Zealand,Sauvignon Blanc,88
11779,US,Rosé,88
11780,France,Rosé,88
11781,US,Grenache,88
11782,Italy,Grillo,88
11783,Italy,Nero d'Avola,88
11784,Italy,Fiano,88
11785,US,Cabernet Sauvignon,88
11786,Italy,Fiano,88
11787,Austria,Welschriesling,88
11788,US,Chardonnay,88
11789,US,Cabernet Sauvignon,88
11790,US,Cabernet Sauvignon,94
11791,US,Pinot Noir,94
11792,Portugal,Portuguese Red,93
11793,US,Pinot Noir,93
11794,France,Riesling,93
11795,France,Riesling,93
11796,US,Chardonnay,93
11797,US,Pinot Noir,93
11798,Portugal,Portuguese White,93
11799,Portugal,Port,93
11800,France,Gewürztraminer,93
11801,Australia,Viognier,93
11802,US,Chardonnay,93
11803,US,Pinot Noir,93
11804,Portugal,Port,93
11805,Australia,Cabernet Sauvignon,93
11806,US,Chardonnay,93
11807,Spain,Tempranillo Blend,93
11808,US,Pinot Noir,93
11809,US,Merlot,93
11810,US,Chardonnay,93
11811,Spain,Tempranillo,93
11812,Germany,Riesling,93
11813,Germany,Riesling,93
11814,Australia,Shiraz,93
11815,Spain,Mencía,93
11816,France,Sauvignon Blanc,93
11817,US,Pinot Noir,93
11818,Portugal,Portuguese Red,93
11819,Portugal,Portuguese White,93
11820,France,Bordeaux-style Red Blend,90
11821,Italy,Sangiovese,90
11822,Spain,Tempranillo,90
11823,Spain,Mencía,90
11824,Spain,Sparkling Blend,90
11825,US,Syrah,90
11826,US,Pinot Noir,90
11827,Spain,Tempranillo,90
11828,US,Cabernet Franc,90
11829,Australia,Cabernet Sauvignon,90
11830,France,Bordeaux-style Red Blend,90
11831,France,Bordeaux-style Red Blend,90
11832,France,Bordeaux-style Red Blend,90
11833,France,Muscat,90
11834,US,Pinot Noir,90
11835,Australia,Cabernet Sauvignon,90
11836,Italy,Red Blend,90
11837,US,Pinot Noir,90
11838,Italy,White Blend,90
11839,US,Pinot Noir,90
11840,France,Pinot Blanc,90
11841,France,Pinot Auxerrois,90
11842,US,Chardonnay,90
11843,US,Pinot Noir,90
11844,US,Pinot Noir,90
11845,US,Viognier,90
11846,US,Red Blend,90
11847,France,Pinot Blanc,90
11848,France,Pinot Noir,90
11849,France,Pinot Blanc,90
11850,US,Pinot Noir,95
11851,US,Sparkling Blend,95
11852,Italy,Teroldego,95
11853,France,Pinot Noir,95
11854,US,Zinfandel,95
11855,US,Pinot Noir,95
11856,US,Chardonnay,95
11857,France,Pinot Noir,95
11858,France,Pinot Noir,95
11859,France,Gewürztraminer,95
11860,US,Pinot Noir,95
11861,France,Pinot Noir,95
11862,France,Pinot Noir,94
11863,France,Pinot Gris,94
11864,France,Riesling,94
11865,US,Pinot Noir,94
11866,US,Chardonnay,94
11867,Italy,Red Blend,94
11868,US,Sparkling Blend,94
11869,US,Grenache,94
11870,Italy,Red Blend,94
11871,US,Pinot Noir,94
11872,US,Pinot Noir,94
11873,Italy,Red Blend,94
11874,France,Pinot Noir,94
11875,France,Pinot Noir,94
11876,France,Pinot Noir,94
11877,US,Cabernet Sauvignon,94
11878,Italy,Teroldego,94
11879,France,Muscat,94
11880,US,Rosé,88
11881,US,Rosé,88
11882,US,Gewürztraminer,88
11883,France,Rosé,88
11884,Italy,Fiano,88
11885,Italy,Pinot Grigio,88
11886,New Zealand,Sauvignon Blanc,88
11887,US,Rosé,88
11888,France,Rosé,88
11889,US,Grenache,88
11890,Italy,Grillo,88
11891,Italy,Nero d'Avola,88
11892,Italy,Fiano,88
11893,US,Cabernet Sauvignon,88
11894,Italy,Fiano,88
11895,Austria,Welschriesling,88
11896,US,Chardonnay,88
11897,US,Cabernet Sauvignon,88
11898,France,Rosé,88
11899,Italy,Friulano,88
11900,US,Merlot,88
11901,US,Pinot Noir,88
11902,France,Rosé,88
11903,France,Rosé,88
11904,US,Pinot Noir,88
11905,France,Rosé,88
11906,US,Rosé,88
11907,France,Rosé,88
11908,France,Rosé,88
11909,Austria,White Blend,88
11910,Austria,Riesling,92
11911,US,Pinot Noir,92
11912,France,Rosé,92
11913,US,Monastrell,92
11914,US,Cabernet Franc,92
11915,US,Syrah-Tempranillo,92
11916,US,Cabernet Sauvignon,92
11917,US,Cabernet Sauvignon,92
11918,US,Pinot Noir,92
11919,US,Malvasia Bianca,92
11920,US,Pinot Noir,92
11921,US,Cabernet Sauvignon,92
11922,Austria,Riesling,92
11923,US,Mourvèdre,92
11924,France,Pinot Noir,92
11925,US,Riesling,92
11926,France,Chardonnay,92
11927,Italy,Sangiovese,92
11928,Argentina,Bordeaux-style Red Blend,92
11929,Italy,Sangiovese,92
11930,US,Rhône-style Red Blend,92
11931,New Zealand,Pinot Noir,92
11932,US,Malbec,92
11933,Italy,Red Blend,92
11934,Italy,Red Blend,92
11935,Italy,Red Blend,92
11936,Argentina,Red Blend,92
11937,US,Cabernet Sauvignon,92
11938,Austria,Blaufränkisch,92
11939,Austria,Grüner Veltliner,92
11940,France,Pinot Noir,90
11941,Greece,Assyrtico,90
11942,Italy,Falanghina,90
11943,US,Riesling,90
11944,Italy,White Blend,90
11945,France,Pinot Noir,90
11946,France,Chardonnay,90
11947,US,Pinot Noir,90
11948,US,Chardonnay,90
11949,Italy,Red Blend,90
11950,Italy,Aglianico,90
11951,France,Chardonnay,90
11952,France,Chardonnay,90
11953,US,Cabernet Sauvignon,90
11954,France,Chardonnay,90
11955,US,Bordeaux-style Red Blend,90
11956,US,Rhône-style White Blend,90
11957,US,Cabernet Sauvignon,90
11958,Turkey,Syrah-Merlot,90
11959,US,Chardonnay,90
11960,Israel,Shiraz,90
11961,Italy,Red Blend,90
11962,US,Chardonnay,90
11963,Italy,Nero d'Avola,90
11964,US,Sauvignon Blanc,90
11965,US,Syrah,90
11966,France,Pinot Noir,90
11967,Italy,Aglianico,90
11968,US,Dolcetto,90
11969,US,Pinot Noir,90
11970,US,Sémillon,85
11971,Spain,Tempranillo Blend,85
11972,US,Zinfandel,85
11973,France,Merlot,84
11974,France,Bordeaux-style White Blend,84
11975,France,Rhône-style Red Blend,84
11976,Italy,White Blend,84
11977,US,Chardonnay,84
11978,US,Chardonnay,84
11979,Spain,Tempranillo,84
11980,US,Petite Sirah,84
11981,France,Sauvignon Blanc,84
11982,France,Bordeaux-style Red Blend,84
11983,Italy,Montepulciano,84
11984,Italy,Sauvignon,84
11985,US,Chardonnay,84
11986,US,Pinot Gris,84
11987,Italy,Sangiovese,84
11988,US,Rosé,84
11989,Italy,Sangiovese,84
11990,Chile,Sauvignon Blanc,84
11991,Spain,Godello,84
11992,Spain,Garnacha,84
11993,France,Bordeaux-style Red Blend,84
11994,US,Cabernet Sauvignon,84
11995,Italy,Sangiovese,84
11996,Chile,Gewürztraminer,84
11997,Italy,Trebbiano,84
11998,France,Bordeaux-style Red Blend,84
11999,France,Rosé,84
12000,Italy,White Blend,90
12001,US,Pinot Noir,90
12002,France,Pinot Blanc,90
12003,Italy,Red Blend,90
12004,France,Pinot Auxerrois,90
12005,Italy,Red Blend,90
12006,US,Chardonnay,90
12007,US,Pinot Noir,90
12008,US,Pinot Noir,90
12009,US,Pinot Noir,90
12010,Italy,Sangiovese,90
12011,France,Gewürztraminer,90
12012,Australia,Pinot Gris,90
12013,US,Riesling,90
12014,France,Alsace white blend,90
12015,France,Pinot Noir,90
12016,US,Pinot Noir,90
12017,Italy,Red Blend,90
12018,Australia,Sauvignon Blanc,90
12019,US,Pinot Noir,90
12020,US,White Blend,90
12021,Italy,Red Blend,90
12022,Italy,Sangiovese,90
12023,US,Syrah,90
12024,US,Pinot Noir,90
12025,Spain,Tempranillo,90
12026,Spain,Sparkling Blend,90
12027,Spain,Mencía,90
12028,US,Pinot Noir,90
12029,US,Syrah,90
12030,Italy,Nero d'Avola,87
12031,US,Cabernet Sauvignon,87
12032,US,Chardonnay,87
12033,US,Riesling,87
12034,US,Nebbiolo,87
12035,US,Pinot Noir,87
12036,US,Malbec,87
12037,Italy,Red Blend,87
12038,US,Pinot Noir,87
12039,France,Gamay,87
12040,US,Gewürztraminer,87
12041,US,Pinot Gris,87
12042,US,Pinot Noir,87
12043,Italy,Insolia,87
12044,Italy,White Blend,87
12045,Chile,Carmenère,87
12046,US,Pinot Noir,87
12047,Italy,Syrah,87
12048,Italy,Nero d'Avola,87
12049,Chile,Cabernet Sauvignon,87
12050,US,Zinfandel,87
12051,Chile,Carmenère,87
12052,US,Viognier,87
12053,Italy,Nero d'Avola,87
12054,Italy,Uva di Troia,87
12055,US,Red Blend,87
12056,Chile,Chardonnay,87
12057,US,Pinot Noir,87
12058,US,Riesling,87
12059,US,Pinot Noir,87
12060,Austria,Riesling,92
12061,Italy,Sagrantino,92
12062,US,Cabernet Sauvignon,92
12063,Argentina,Malbec-Cabernet Sauvignon,92
12064,Italy,Aleatico,92
12065,France,Bordeaux-style Red Blend,92
12066,France,Bordeaux-style Red Blend,92
12067,France,Bordeaux-style White Blend,92
12068,France,Bordeaux-style White Blend,92
12069,US,Chardonnay,92
12070,US,Zinfandel,92
12071,Austria,Grüner Veltliner,92
12072,US,Chardonnay,92
12073,Austria,Scheurebe,92
12074,US,Pinot Noir,92
12075,Spain,Carignan-Grenache,92
12076,Australia,Shiraz,92
12077,Germany,Riesling,92
12078,Germany,Riesling,92
12079,Germany,Riesling,92
12080,US,Chardonnay,92
12081,France,Bordeaux-style Red Blend,92
12082,Austria,Riesling,92
12083,Austria,Grüner Veltliner,92
12084,France,Bordeaux-style White Blend,92
12085,Austria,Grüner Veltliner,92
12086,Spain,Red Blend,92
12087,US,Cabernet Sauvignon,92
12088,Italy,Sagrantino,92
12089,Argentina,Cabernet Sauvignon,92
12090,US,Pinot Noir,93
12091,Portugal,Portuguese Red,93
12092,Portugal,Portuguese White,93
12093,Portugal,Portuguese Red,93
12094,Portugal,Portuguese Red,93
12095,Italy,Friulano,93
12096,France,Pinot Gris,93
12097,Portugal,Portuguese Red,93
12098,US,Pinot Noir,93
12099,US,Cabernet Sauvignon-Syrah,93
12100,US,Cabernet Sauvignon,93
12101,US,Pinot Noir,93
12102,US,Pinot Noir,93
12103,Australia,Shiraz,93
12104,US,Bordeaux-style Red Blend,93
12105,US,Pinot Noir,93
12106,Spain,Mencía,93
12107,France,Riesling,93
12108,France,Pinot Gris,93
12109,Portugal,Portuguese Red,93
12110,Germany,Riesling,93
12111,Germany,Riesling,93
12112,Germany,Riesling,93
12113,Portugal,Portuguese Red,93
12114,France,Pinot Gris,93
12115,US,Riesling,93
12116,Argentina,Malbec,93
12117,US,Chardonnay,93
12118,US,Pinot Noir,93
12119,Germany,Riesling,93
12120,US,Syrah,92
12121,US,Chardonnay,92
12122,US,Rosé,92
12123,US,Fumé Blanc,92
12124,France,Chenin Blanc,92
12125,US,Syrah,92
12126,Portugal,Portuguese Red,92
12127,Portugal,Portuguese Red,92
12128,US,Syrah,92
12129,US,Semillon-Sauvignon Blanc,92
12130,Italy,Red Blend,92
12131,France,Riesling,92
12132,Argentina,Malbec,92
12133,US,Cabernet Sauvignon,92
12134,New Zealand,Pinot Gris,92
12135,France,Chenin Blanc,92
12136,Portugal,Touriga Nacional-Cabernet Sauvignon,92
12137,Portugal,Portuguese Red,92
12138,US,Cabernet Sauvignon,92
12139,New Zealand,Pinot Gris,92
12140,France,Syrah,92
12141,France,Gewürztraminer,92
12142,France,Rhône-style Red Blend,92
12143,US,Chardonnay,92
12144,US,Syrah,92
12145,US,Riesling,92
12146,France,Syrah,92
12147,US,Pinot Noir,92
12148,US,Pinot Noir,92
12149,US,Pinot Noir,92
12150,Italy,Greco,88
12151,France,Tannat,88
12152,Italy,Aglianico,88
12153,US,Cabernet Franc,88
12154,Austria,Zweigelt,88
12155,Argentina,Malbec,87
12156,Spain,Tempranillo,87
12157,US,Sauvignon Blanc,87
12158,New Zealand,Pinot Noir,87
12159,US,Zinfandel,87
12160,Argentina,Malbec,87
12161,Spain,Xarel-lo,87
12162,Spain,Xarel-lo,87
12163,Italy,Piedirosso,87
12164,US,Viognier,87
12165,US,Malbec,87
12166,Italy,Sauvignon,87
12167,Italy,Garganega,87
12168,US,Pinot Noir,87
12169,France,Red Blend,87
12170,US,Zinfandel,87
12171,US,Cabernet Sauvignon,87
12172,US,Syrah,87
12173,US,Merlot,87
12174,France,White Blend,87
12175,Italy,White Blend,87
12176,US,Cabernet Franc,87
12177,US,Cabernet Sauvignon,87
12178,Argentina,Torrontés,87
12179,US,Cabernet Franc,87
12180,US,Chardonnay,94
12181,US,Pinot Noir,94
12182,Italy,Teroldego,94
12183,US,Pinot Noir,94
12184,Italy,Red Blend,94
12185,France,Pinot Noir,94
12186,France,Riesling,94
12187,US,Pinot Noir,94
12188,US,Red Blend,94
12189,US,Syrah,94
12190,Italy,Red Blend,94
12191,US,Sauvignon Blanc,94
12192,US,Riesling,94
12193,France,Pinot Noir,94
12194,France,Pinot Noir,94
12195,France,Pinot Noir,94
12196,US,Pinot Noir,94
12197,France,Riesling,94
12198,US,Cabernet Sauvignon,94
12199,US,Pinot Noir,94
12200,US,Chardonnay,94
12201,US,Zinfandel,94
12202,US,Pinot Noir,94
12203,US,Pinot Noir,94
12204,US,Pinot Noir,94
12205,US,Pinot Noir,94
12206,France,Pinot Noir,94
12207,US,Pinot Noir,94
12208,US,Cabernet Sauvignon,94
12209,US,Pinot Noir,94
12210,US,Pinot Noir,92
12211,US,Bordeaux-style Red Blend,92
12212,US,Chardonnay,92
12213,US,Pinot Noir,92
12214,US,Cabernet Sauvignon,92
12215,France,Rosé,92
12216,Austria,Grüner Veltliner,92
12217,Austria,St. Laurent,92
12218,Austria,Blaufränkisch,92
12219,Austria,Blaufränkisch,92
12220,US,Pinot Noir,92
12221,US,Pinot Noir,92
12222,US,Pinot Noir,92
12223,Italy,Sangiovese,92
12224,US,Chardonnay,92
12225,Austria,Blaufränkisch,92
12226,US,Pinot Noir,92
12227,Austria,Riesling,92
12228,US,Pinot Noir,92
12229,US,Chardonnay,92
12230,US,Chardonnay,92
12231,Austria,Grüner Veltliner,92
12232,US,Pinot Noir,92
12233,US,Bordeaux-style Red Blend,92
12234,Austria,Sauvignon Blanc,92
12235,New Zealand,Pinot Noir,92
12236,US,Merlot,92
12237,US,Syrah,92
12238,US,Pinot Noir,92
12239,US,Bordeaux-style Red Blend,92
12240,Spain,Tempranillo,90
12241,US,Cabernet Franc,90
12242,Australia,Cabernet Sauvignon,90
12243,France,Pinot Blanc,89
12244,France,Sylvaner,89
12245,France,Pinot Blanc,89
12246,France,Pinot Blanc,89
12247,France,Bordeaux-style Red Blend,89
12248,France,Alsace white blend,89
12249,Italy,Red Blend,89
12250,France,Pinot Noir,89
12251,Australia,Sauvignon Blanc-Semillon,89
12252,Italy,Sangiovese,89
12253,Australia,Viognier-Marsanne,89
12254,US,Riesling,89
12255,Italy,Red Blend,89
12256,Italy,Red Blend,89
12257,Italy,Red Blend,89
12258,US,Chardonnay,89
12259,Italy,Sangiovese,89
12260,US,Pinot Noir,89
12261,Italy,Sangiovese,89
12262,Spain,Tempranillo,89
12263,US,Cabernet Sauvignon,89
12264,Italy,Red Blend,89
12265,Spain,Cariñena-Garnacha,89
12266,US,Pinot Noir,89
12267,Italy,Red Blend,89
12268,France,Muscat,89
12269,Italy,Sangiovese,89
12270,Italy,Garganega,87
12271,US,Pinot Noir,87
12272,France,Red Blend,87
12273,US,Zinfandel,87
12274,US,Cabernet Sauvignon,87
12275,US,Syrah,87
12276,US,Merlot,87
12277,France,White Blend,87
12278,Italy,White Blend,87
12279,US,Cabernet Franc,87
12280,US,Cabernet Sauvignon,87
12281,US,Sauvignon Blanc,87
12282,New Zealand,Pinot Noir,87
12283,Spain,Tempranillo,87
12284,Argentina,Torrontés,87
12285,US,Cabernet Franc,87
12286,Italy,White Blend,87
12287,France,Provence red blend,87
12288,Spain,Garnacha-Tempranillo,87
12289,US,Pinot Noir,87
12290,US,Zinfandel,87
12291,Spain,Bobal,87
12292,US,Cabernet Sauvignon,87
12293,US,Zinfandel,87
12294,US,Zinfandel,87
12295,US,Pinot Grigio-Sauvignon Blanc,87
12296,US,Petite Sirah,87
12297,Spain,Monastrell,87
12298,France,Rosé,87
12299,France,Rosé,87
12300,US,Sauvignon Blanc,84
12301,US,Rhône-style Red Blend,84
12302,US,Zinfandel,84
12303,US,Rosé,84
12304,US,Chardonnay,84
12305,US,Chardonnay,84
12306,Spain,Tempranillo,84
12307,Chile,Cabernet Sauvignon,84
12308,Chile,Chardonnay,84
12309,Spain,Garnacha Blanca,84
12310,US,Rosé,84
12311,Spain,Red Blend,84
12312,Chile,Pinot Noir,84
12313,US,Syrah,84
12314,US,Red Blend,84
12315,US,Chardonnay,84
12316,France,Rhône-style Red Blend,84
12317,Italy,Pinot Nero,84
12318,Italy,Pinot Grigio,84
12319,Spain,Verdejo-Viura,84
12320,US,Rosé,84
12321,Italy,Malvasia,84
12322,US,Riesling,84
12323,US,Riesling,84
12324,Austria,Grüner Veltliner,84
12325,US,Chardonnay,84
12326,Italy,Pinot Grigio,84
12327,Chile,Syrah,84
12328,US,Syrah,84
12329,France,Cabernet Franc,84
12330,US,Sangiovese,90
12331,US,Malbec,90
12332,Spain,Red Blend,90
12333,US,Cabernet Sauvignon,90
12334,France,Syrah-Grenache,90
12335,Spain,Tempranillo,90
12336,France,Chardonnay,90
12337,Italy,Nero d'Avola,90
12338,Spain,Carignan,90
12339,Italy,Aglianico,90
12340,US,Merlot,90
12341,Italy,Nerello Mascalese,90
12342,US,Chardonnay,90
12343,US,Bordeaux-style Red Blend,90
12344,US,Bordeaux-style Red Blend,90
12345,France,Pinot Noir,90
12346,Italy,Aglianico,90
12347,Spain,Tempranillo,90
12348,Spain,Tinto del Pais,90
12349,Spain,Sparkling Blend,90
12350,France,Pinot Noir,90
12351,France,Pinot Noir,90
12352,US,Pinot Noir,90
12353,Israel,Chardonnay,90
12354,US,Syrah,90
12355,Spain,Albariño,90
12356,Italy,Pallagrello Nero,90
12357,US,Sauvignon Blanc,90
12358,US,Cabernet Franc,90
12359,US,Merlot,90
12360,US,Zinfandel,87
12361,Italy,Primitivo,87
12362,France,Bordeaux-style Red Blend,87
12363,US,Pinot Noir,87
12364,France,Red Blend,87
12365,Italy,Cabernet Sauvignon,87
12366,Italy,White Blend,87
12367,Italy,Red Blend,87
12368,Italy,Moscato,87
12369,Italy,Red Blend,87
12370,France,Bordeaux-style Red Blend,87
12371,France,Merlot,87
12372,France,Bordeaux-style Red Blend,87
12373,France,Bordeaux-style Red Blend,87
12374,France,Bordeaux-style Red Blend,87
12375,Italy,Grillo,87
12376,Chile,Carmenère,87
12377,US,Pinot Noir,87
12378,US,Cabernet Sauvignon,87
12379,Chile,Cabernet Sauvignon,87
12380,Chile,Cabernet Sauvignon,87
12381,US,Red Blend,87
12382,Italy,Red Blend,87
12383,Italy,White Blend,87
12384,Italy,Zibibbo,87
12385,Italy,Nero d'Avola,87
12386,US,Chardonnay,87
12387,Austria,Scheurebe,87
12388,Chile,Sauvignon Blanc,87
12389,Italy,Pinot Nero,87
12390,US,Bordeaux-style Red Blend,92
12391,Spain,Tempranillo,92
12392,Italy,Red Blend,92
12393,US,Cabernet Sauvignon,92
12394,Italy,Sangiovese,92
12395,France,Rhône-style Red Blend,92
12396,US,Chardonnay,92
12397,US,Syrah,92
12398,US,Chardonnay,92
12399,US,Pinot Noir,92
12400,US,Chardonnay,92
12401,US,Cabernet Sauvignon,92
12402,Portugal,Portuguese Red,92
12403,France,Sauvignon Blanc,92
12404,France,Sparkling Blend,91
12405,France,Riesling,91
12406,France,Cabernet Franc,91
12407,France,Gewürztraminer,91
12408,US,Pinot Noir,91
12409,US,Chardonnay,91
12410,US,Cabernet Sauvignon,91
12411,Italy,Sangiovese,91
12412,Argentina,Malbec,91
12413,France,Riesling,91
12414,US,Pinot Noir,91
12415,Spain,Sherry,91
12416,Spain,Red Blend,91
12417,US,Pinot Noir,91
12418,US,Pinot Noir,91
12419,Spain,Tempranillo,91
12420,Italy,Müller-Thurgau,93
12421,US,Malbec,93
12422,US,Chardonnay,93
12423,US,Pinot Noir,93
12424,US,Pinot Noir,93
12425,Portugal,Portuguese Red,93
12426,France,Riesling,93
12427,US,Cabernet Sauvignon,93
12428,Australia,Shiraz,93
12429,US,Pinot Noir,93
12430,Portugal,Portuguese Red,93
12431,Italy,White Blend,93
12432,Italy,White Blend,93
12433,US,Pinot Noir,93
12434,Portugal,Port,93
12435,France,Pinot Gris,93
12436,Portugal,Port,93
12437,Portugal,Portuguese Red,93
12438,France,Pinot Gris,93
12439,US,Cabernet Sauvignon,93
12440,US,Bordeaux-style Red Blend,93
12441,US,Chardonnay,93
12442,US,Pinot Noir,93
12443,US,Pinot Noir,93
12444,US,Pinot Noir,93
12445,US,Pinot Noir,93
12446,France,Riesling,93
12447,France,Sylvaner,93
12448,Portugal,Port,93
12449,Portugal,Portuguese Red,93
12450,Argentina,Malbec,92
12451,US,Red Blend,92
12452,US,Zinfandel,92
12453,Austria,Grüner Veltliner,92
12454,Australia,Shiraz,92
12455,Germany,Riesling,92
12456,Germany,Riesling,92
12457,US,Pinot Noir,92
12458,Germany,Riesling,92
12459,Australia,Grenache,92
12460,Australia,Shiraz,92
12461,Australia,Shiraz,92
12462,France,Bordeaux-style Red Blend,92
12463,France,Bordeaux-style Red Blend,92
12464,US,Chardonnay-Albariño,92
12465,US,Pinot Noir,92
12466,US,Pinot Noir,92
12467,US,Pinot Noir,92
12468,Argentina,Red Blend,92
12469,US,Pinot Blanc,92
12470,Germany,Riesling,92
12471,France,Bordeaux-style White Blend,92
12472,France,Savagnin,92
12473,US,Chardonnay,92
12474,US,Pinot Noir,92
12475,US,Pinot Noir,92
12476,US,Sauvignon Blanc,92
12477,US,Chardonnay,92
12478,US,Pinot Noir,92
12479,US,Pinot Noir,92
12480,US,Rhône-style Red Blend,94
12481,France,Riesling,94
12482,US,Pinot Noir,94
12483,US,Cabernet Franc,94
12484,US,Syrah,94
12485,US,Pinot Noir,94
12486,US,Zinfandel,94
12487,France,Pinot Noir,94
12488,Chile,Syrah,93
12489,France,Pinot Noir,93
12490,France,Pinot Noir,93
12491,US,Pinot Noir,93
12492,US,Chardonnay,93
12493,France,Pinot Gris,93
12494,France,Gewürztraminer,93
12495,US,Pinot Noir,93
12496,US,Pinot Noir,93
12497,US,Pinot Noir,93
12498,US,Pinot Noir,93
12499,US,Syrah,93
12500,US,Pinot Noir,93
12501,US,Zinfandel,93
12502,US,Sparkling Blend,93
12503,US,Bordeaux-style Red Blend,93
12504,Italy,Red Blend,93
12505,US,Chardonnay,93
12506,US,Chardonnay,93
12507,US,Pinot Noir,93
12508,US,Zinfandel,93
12509,France,Pinot Noir,93
12510,Spain,Tempranillo,89
12511,US,Cabernet Sauvignon,89
12512,Italy,Red Blend,89
12513,Spain,Cariñena-Garnacha,89
12514,US,Chardonnay,89
12515,US,Pinot Noir,89
12516,Italy,Red Blend,89
12517,Australia,Cabernet Sauvignon,89
12518,France,Pinot Noir,89
12519,Italy,Sangiovese,89
12520,Italy,Sangiovese,89
12521,Italy,Red Blend,89
12522,France,Pinot Noir,89
12523,France,Pinot Blanc,89
12524,Italy,Red Blend,89
12525,Italy,Sangiovese,89
12526,Italy,Sangiovese,89
12527,Australia,Shiraz,89
12528,France,Bordeaux-style Red Blend,89
12529,Italy,Red Blend,89
12530,Italy,Sangiovese,89
12531,US,Pinot Noir,89
12532,US,White Blend,89
12533,France,Bordeaux-style Red Blend,89
12534,France,Bordeaux-style Red Blend,89
12535,US,Cabernet Sauvignon,89
12536,Italy,Red Blend,89
12537,Italy,Sangiovese,89
12538,Italy,White Blend,89
12539,Italy,Sangiovese,89
12540,US,Chardonnay,92
12541,South Africa,Pinotage,92
12542,US,Bordeaux-style Red Blend,92
12543,US,Mourvèdre,92
12544,Italy,Red Blend,92
12545,France,Chardonnay,92
12546,Italy,Sangiovese,92
12547,Italy,Sangiovese,92
12548,US,Red Blend,92
12549,US,Red Blend,92
12550,Austria,Blaufränkisch,92
12551,New Zealand,Pinot Noir,92
12552,US,Chardonnay,92
12553,US,Cabernet Sauvignon,92
12554,US,Merlot,92
12555,US,Claret,92
12556,France,Pinot Noir,92
12557,US,Syrah,92
12558,Austria,Blaufränkisch,92
12559,Argentina,Malbec,92
12560,New Zealand,Pinot Noir,92
12561,US,Malbec,92
12562,US,Syrah,92
12563,France,Rosé,92
12564,US,Red Blend,92
12565,US,Pinot Noir,92
12566,Italy,White Blend,91
12567,New Zealand,Pinot Noir,91
12568,South Africa,Pinotage,91
12569,South Africa,Chardonnay,91
12570,France,Rosé,87
12571,Italy,Friulano,87
12572,France,White Blend,87
12573,France,Rosé,87
12574,France,Rosé,87
12575,France,Sauvignon Blanc,87
12576,Austria,Zweigelt,87
12577,Italy,Garganega,87
12578,France,Braucol,87
12579,US,Cabernet Franc,87
12580,US,Chardonnay,87
12581,US,Merlot,87
12582,Austria,Zweigelt,87
12583,Austria,Riesling,87
12584,Italy,Friulano,87
12585,US,Riesling,87
12586,US,Pinot Noir,87
12587,France,Rosé,87
12588,US,Riesling,87
12589,Italy,Aglianico,87
12590,Spain,Red Blend,87
12591,Spain,Albariño,87
12592,US,Grenache,87
12593,Argentina,Malbec,87
12594,Italy,Friulano,87
12595,New Zealand,Gewürztraminer,87
12596,Argentina,Malbec-Cabernet Sauvignon,87
12597,Argentina,White Blend,87
12598,US,Rosé,87
12599,Italy,Falanghina,87
12600,US,Petit Verdot,84
12601,France,Sauvignon Blanc,84
12602,France,Bordeaux-style Red Blend,84
12603,Italy,Montepulciano,84
12604,Italy,Sangiovese,84
12605,US,Zinfandel,84
12606,Chile,White Blend,84
12607,US,Syrah,84
12608,US,Sauvignon Blanc,84
12609,Italy,Red Blend,84
12610,Italy,Sagrantino,84
12611,US,Zinfandel,84
12612,Italy,White Blend,84
12613,US,Pinot Noir,84
12614,US,Chardonnay,84
12615,US,Syrah,84
12616,US,White Blend,84
12617,France,Rhône-style Red Blend,84
12618,Italy,Verdicchio,84
12619,US,Chardonnay,84
12620,Spain,Sparkling Blend,84
12621,US,Cabernet Sauvignon,84
12622,US,Zinfandel,84
12623,France,Bordeaux-style White Blend,84
12624,France,Bordeaux-style Red Blend,84
12625,Italy,White Blend,84
12626,US,Cabernet Sauvignon,84
12627,US,Red Blend,84
12628,US,Viognier,84
12629,US,Rosé,84
12630,Turkey,Syrah,90
12631,Italy,Aglianico,90
12632,US,Chardonnay,90
12633,US,Cabernet Franc,90
12634,US,Zinfandel,90
12635,US,Syrah,90
12636,US,Zinfandel,90
12637,France,Syrah,90
12638,France,Rhône-style White Blend,90
12639,France,Rhône-style Red Blend,90
12640,France,Viognier,90
